keep,name,reviewCount,rating,googleType,address,categories,isIndoor,lat,lng,id
,"朝乃家",27,4,"cafe","京都市右京区嵯峨中ノ島町","quiet|food",true,35.0115729,135.67791599999998,"ChIJ_6NL5FQHAWARzHB47Id5NyA"
,"鉄板居酒屋こてっぱん",27,4.6,"japanese_restaurant","京都市山科区小野葛籠尻町１９−８","night|food",true,34.9611811,135.8139199,"ChIJ8_oOTb8OAWARValhqxHB3IE"
,"ロクソンノウブルワリー",28,4.4,"bar","京都市下京区東塩小路高倉町８−３ ASTY京都内","night|food",true,34.9846542,135.7585528,"ChIJUVZkPQAJAWAR2vbmRQ9jn3Q"
,"漫画BAR",28,4.5,"bar","京都市左京区田中下柳町８−１２","night|food",true,35.028632,135.774112,"ChIJpcvGRVwIAWARsyw_tnrsRDI"
,"吉岡書店",28,4.3,"book_store","京都市左京区田中門前町８７","quiet|culture",true,35.0288537,135.7801485,"ChIJmWFg51kIAWARYu4IjoA8M3k"
,"善行堂",28,4.8,"book_store","京都市左京区浄土寺西田町８２−２","quiet|culture",true,35.0280877,135.7899136,"ChIJfdVn1v8IAWARdYfx5tL4OqA"
,"濱口商店",28,4.9,"food","京都市左京区吉田神楽岡町５−４","food",true,35.0248746,135.7882041,"ChIJD4tnsUIJAWARf7eFDNtQMRw"
,"Arashiyama Tenryu Tempura Bar",28,4,"bar","京都市右京区嵯峨天龍寺芒ノ馬場町3−２５","night|food",true,35.014497,135.6771595,"ChIJAQ1H6bqpAWAR6KeKaTG3t9Q"
,"クラシックカフェ 名曲喫茶ウグイス堂",29,4.9,"cafe","京都市中京区新京極通り四条中之町５７７ 柳小路 はちべえ長屋 B","quiet|food",true,35.0045007,135.7682668,"ChIJ073QNgAJAWARnOfILsiacAs"
,"みやこの滝",29,4,"tourist_attraction","京都市南区西九条院町","photo|culture",false,34.98462680000001,135.7560058,"ChIJTa9St4sJAWARAjYXx33KDbk"
,"アシュクルク",29,4.5,"bistro","京都市左京区田中関田町左京区田中関田町３７−３","night|food",true,35.0282695,135.7741725,"ChIJV8RmOFwIAWARPBPJb6F6AM4"
,"楽園酒屋 アンナチュラル",29,4.2,"japanese_izakaya_restaurant","京都市左京区田中門前町３２−２ 百八ビル","night|food",true,35.029513699999995,135.7792254,"ChIJk_p_IFoIAWARU4aatCSv_cs"
,"天龍堂",29,4.1,"book_store","京都市右京区嵯峨天龍寺車道町１","quiet|culture",true,35.016770699999995,135.6810382,"ChIJPZH0c_6pAWARzY_K514QtLk"
,"炭火焼ぜん",30,4.6,"yakitori_restaurant","京都市左京区田中下柳町１４","food",true,35.0287502,135.7727688,"ChIJIzzVVQAJAWARzc1tWfyfiLA"
,"トランスポップギャラリー",30,4.7,"art_gallery","京都市左京区田中関田町２２−７５ ルミエール出町柳","culture|photo",true,35.0299484,135.77492100000003,"ChIJsb6fiVwIAWARCWy_dY8cCCE"
,"お食事処さつき",30,4.7,"japanese_izakaya_restaurant","京都市左京区浄土寺東田町９３−７","food",true,35.0257346,135.7928426,"ChIJo0UrtgMJAWAR9iXi3WqB-g4"
